"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 14 10:17:43 CST 2021","Tue Dec 14 10:17:43 CST 2021","213","testcase","test_login","TestLogin","","","test_login"," 登录 "
"passed","Tue Dec 14 10:17:26 CST 2021","Tue Dec 14 10:17:29 CST 2021","3262","testcase","test_big_screen","TestBigScreen","","","test_bigscreen",""
"passed","Tue Dec 14 10:17:56 CST 2021","Tue Dec 14 10:18:09 CST 2021","12563","testcase","test_power_manage","TestPowerManage","","","test_select_power",""
